loc,cases,deaths,date,Region,year
ALBAY,15,0,10/1/2016,REGION V-BICOL REGION,2016
ALBAY,13,0,17/01/2016,REGION V-BICOL REGION,2016
ALBAY,9,0,24/01/2016,REGION V-BICOL REGION,2016
ALBAY,14,0,31/01/2016,REGION V-BICOL REGION,2016
ALBAY,9,0,7/2/2016,REGION V-BICOL REGION,2016
ALBAY,17,0,14/02/2016,REGION V-BICOL REGION,2016
ALBAY,3,0,21/02/2016,REGION V-BICOL REGION,2016
ALBAY,11,0,28/02/2016,REGION V-BICOL REGION,2016
ALBAY,8,0,6/3/2016,REGION V-BICOL REGION,2016
ALBAY,6,0,13/03/2016,REGION V-BICOL REGION,2016
ALBAY,5,1,20/03/2016,REGION V-BICOL REGION,2016
ALBAY,5,0,27/03/2016,REGION V-BICOL REGION,2016
ALBAY,2,0,3/4/2016,REGION V-BICOL REGION,2016
ALBAY,2,0,10/4/2016,REGION V-BICOL REGION,2016
ALBAY,6,0,17/04/2016,REGION V-BICOL REGION,2016
ALBAY,5,0,24/04/2016,REGION V-BICOL REGION,2016
ALBAY,5,0,1/5/2016,REGION V-BICOL REGION,2016
ALBAY,3,0,8/5/2016,REGION V-BICOL REGION,2016
ALBAY,2,0,15/05/2016,REGION V-BICOL REGION,2016
ALBAY,5,0,22/05/2016,REGION V-BICOL REGION,2016
ALBAY,4,0,29/05/2016,REGION V-BICOL REGION,2016
ALBAY,3,0,5/6/2016,REGION V-BICOL REGION,2016
ALBAY,5,0,12/6/2016,REGION V-BICOL REGION,2016
ALBAY,9,0,19/06/2016,REGION V-BICOL REGION,2016
ALBAY,6,0,26/06/2016,REGION V-BICOL REGION,2016
ALBAY,7,0,3/7/2016,REGION V-BICOL REGION,2016
ALBAY,4,0,10/7/2016,REGION V-BICOL REGION,2016
ALBAY,7,0,17/07/2016,REGION V-BICOL REGION,2016
ALBAY,12,0,24/07/2016,REGION V-BICOL REGION,2016
ALBAY,5,0,31/07/2016,REGION V-BICOL REGION,2016
ALBAY,12,0,7/8/2016,REGION V-BICOL REGION,2016
ALBAY,16,0,14/08/2016,REGION V-BICOL REGION,2016
ALBAY,15,0,21/08/2016,REGION V-BICOL REGION,2016
ALBAY,15,0,28/08/2016,REGION V-BICOL REGION,2016
ALBAY,19,1,4/9/2016,REGION V-BICOL REGION,2016
ALBAY,20,0,11/9/2016,REGION V-BICOL REGION,2016
ALBAY,17,0,18/09/2016,REGION V-BICOL REGION,2016
ALBAY,13,0,25/09/2016,REGION V-BICOL REGION,2016
ALBAY,16,0,2/10/2016,REGION V-BICOL REGION,2016
ALBAY,14,0,9/10/2016,REGION V-BICOL REGION,2016
ALBAY,7,0,16/10/2016,REGION V-BICOL REGION,2016
ALBAY,19,0,23/10/2016,REGION V-BICOL REGION,2016
ALBAY,9,0,30/10/2016,REGION V-BICOL REGION,2016
ALBAY,6,0,6/11/2016,REGION V-BICOL REGION,2016
ALBAY,9,0,13/11/2016,REGION V-BICOL REGION,2016
ALBAY,15,0,20/11/2016,REGION V-BICOL REGION,2016
ALBAY,18,0,27/11/2016,REGION V-BICOL REGION,2016
ALBAY,19,0,4/12/2016,REGION V-BICOL REGION,2016
ALBAY,2,0,11/12/2016,REGION V-BICOL REGION,2016
ALBAY,9,0,18/12/2016,REGION V-BICOL REGION,2016
ALBAY,14,0,25/12/2016,REGION V-BICOL REGION,2016
ANGELES CITY,21,0,10/1/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,14,0,17/01/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,24,0,24/01/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,22,0,31/01/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,18,0,7/2/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,24,0,14/02/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,12,0,21/02/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,21,0,28/02/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,12,0,6/3/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,6,0,13/03/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,4,0,20/03/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,10,0,27/03/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,11,0,3/4/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,9,0,10/4/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,6,0,17/04/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,1,0,24/04/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,3,0,1/5/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,1,0,8/5/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,4,0,15/05/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,7,0,22/05/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,1,0,29/05/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,0,0,5/6/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,0,0,12/6/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,0,0,19/06/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,1,0,26/06/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,2,0,3/7/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,9,0,10/7/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,5,0,17/07/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,10,0,24/07/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,6,0,31/07/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,11,0,7/8/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,19,0,14/08/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,38,0,21/08/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,23,0,28/08/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,63,1,4/9/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,53,0,11/9/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,42,0,18/09/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,59,1,25/09/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,46,0,2/10/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,41,1,9/10/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,24,0,16/10/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,41,0,23/10/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,32,0,30/10/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,49,0,6/11/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,37,0,13/11/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,43,0,20/11/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,23,2,27/11/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,16,0,4/12/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,53,0,11/12/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,52,0,18/12/2016,REGION III-CENTRAL LUZON,2016
ANGELES CITY,28,1,25/12/2016,REGION III-CENTRAL LUZON,2016
AURORA,37,0,10/1/2016,REGION III-CENTRAL LUZON,2016
AURORA,15,0,17/01/2016,REGION III-CENTRAL LUZON,2016
AURORA,14,0,24/01/2016,REGION III-CENTRAL LUZON,2016
AURORA,21,0,31/01/2016,REGION III-CENTRAL LUZON,2016
AURORA,18,0,7/2/2016,REGION III-CENTRAL LUZON,2016
AURORA,8,0,14/02/2016,REGION III-CENTRAL LUZON,2016
AURORA,10,0,21/02/2016,REGION III-CENTRAL LUZON,2016
AURORA,5,0,28/02/2016,REGION III-CENTRAL LUZON,2016
AURORA,6,0,6/3/2016,REGION III-CENTRAL LUZON,2016
AURORA,10,0,13/03/2016,REGION III-CENTRAL LUZON,2016
AURORA,5,0,20/03/2016,REGION III-CENTRAL LUZON,2016
AURORA,3,0,27/03/2016,REGION III-CENTRAL LUZON,2016
AURORA,2,0,3/4/2016,REGION III-CENTRAL LUZON,2016
AURORA,8,0,10/4/2016,REGION III-CENTRAL LUZON,2016
AURORA,5,0,17/04/2016,REGION III-CENTRAL LUZON,2016
AURORA,4,0,24/04/2016,REGION III-CENTRAL LUZON,2016
AURORA,4,0,1/5/2016,REGION III-CENTRAL LUZON,2016
